,Country Name,Country Code,Population,Working Age Population Percent,Urban Population Percent,Rural Population Percent,Life Expectancy Years,Refugees by Origin,Refugees by Destination,Land Area Sq km,Forest Area Sq km,Agricultural Land Percent,Arable Land Percent,CO2 Tonnes per Capita,Low Elevation Percent,Water Percent,Irrigation Percent,Fertilizer Intensity,GDP per Capita PPP,Gini Index,Agriculture Percent GDP,Industry Percent GDP,Military Percent GDP,Energy MM BTU per Capita,Renewable Percent,Attended Births Percent,Contraceptive Percent,Diabetes Percent,HIV Prevalence Percent,Immunized DPT Percent,Immunized Measles Percent,Mortality Communicable Percent,Mortality Infant per 1K,Mortality Injury Percent,Mortality Maternal per 100K,Mortality Non-Communicable Deaths Percent,Mortality Traffic per 100K,Surgeons per 100K,Teen Fertility per 1K,Tuberculosis per 100K,Undernourished Percent
130,Montenegro,MNE,617213.0,65.3546383450343,68.164,31.836,73.8243902439024,606.0,32438.0,13450.0,61.4869888475836,19.0007434944238,0.661710037174721,4.06756091201437,4.40624625277759,,,311.96404494382,27027.48297441,36.8,6.04398906282864,12.9653049670004,1.60746495179336,60.99678635596092,64.6646970020115,98.8,20.7,9.1,0.1,80.0,33.0,1.41387631975863,1.9,4.48017883696707,6.0,94.1059452107939,7.6,64.12,10.361,14.0,2.5
131,Bosnia and Herz.,BIH,3233526.0,66.7309205599521,49.841,50.159,75.3,17913.0,274.0,51200.0,42.7326171875,44.19921875,19.6875,6.31230587447531,0.0137988235253632,0.848676056338028,,62.0219246031746,19990.8134862428,33.0,4.8333137054411,24.6763985411616,0.810442240190891,86.87748013311445,77.5220449672342,99.9,46.0,9.1,,75.0,58.0,1.80974774248712,4.8,3.76658780271476,6.0,94.4236633469105,13.5,32.3,9.86,24.0,2.5
132,Uganda,UGA,47249585.0,53.5245505330893,26.159,73.841,62.705,7510.0,1463523.0,200520.0,11.4534375623379,71.8880909634949,34.4105326152005,0.127793034826946,0.0,1.63333333333333,0.0733957682969129,2.44235507246377,2693.10830508653,42.7,24.0117220529459,26.7661486334071,2.06007852417852,,,74.2,50.2,4.6,5.2,89.0,90.0,51.6605577071455,31.2,12.7585185774618,284.0,35.5809226467057,29.4,1.05,107.938,198.0,31.6
133,USNB Guantanamo Bay,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Cuba,CUB,11212191.0,68.4704666554467,77.401,22.599,73.683,13529.0,174.0,103800.0,31.233140655106,61.6666666666667,28.0211946050096,2.15276967847473,2.50495003993379,18.2528856243442,,25.5737743244172,,,0.800262312763136,23.7700418806891,2.87620737245072,40.9374435235148,85.5964145599651,100.0,69.1,7.6,0.5,99.0,99.0,9.21507185480928,4.0,7.47764328278062,39.0,83.3072850613784,8.9,100.89,48.82,6.6,2.5
135,Honduras,HND,10432860.0,65.6103535181318,59.6,40.4,70.123,64976.0,165.0,111890.0,56.6476896952364,31.9599606756636,9.09822146751274,0.872911171700029,1.82227588839704,1.77255680564747,2.59142857142857,191.119548133595,6743.33006423991,48.2,12.5724857320473,26.25433343514,1.52909744390138,23.262259308822706,52.4793125284907,94.1,69.4,5.1,0.2,78.0,77.0,10.683423692717,14.2,17.885319118491,72.0,71.4312565119184,16.1,13.68,71.972,31.0,18.7
136,Ecuador,ECU,18001000.0,66.4784761957669,64.57,35.43,73.67,3200.0,60125.0,248360.0,50.0626509904977,22.024480592688,4.12304718956354,1.95757534925331,7.21542013422516,2.24136528028933,18.8665447897623,367.845888671875,12826.3613458148,45.5,8.84162305963045,31.4922538195654,2.15522186999422,35.236526813583204,86.8846603647343,97.154916093958,77.9,4.4,0.4,70.0,74.0,12.3367929690456,10.7,11.4597060711425,66.0,76.2035026213013,20.1,59.39,63.163,45.0,13.9
137,Colombia,COL,51874024.0,69.658047927803,82.05,17.95,72.83,109135.0,1607.0,1109500.0,53.1253958539883,38.5020279405137,1.79630464173051,1.55225942282078,2.34105613545381,1.35737388158508,1.45172663090531,615.311570496739,20268.6823900174,51.5,8.30463459058307,26.8757180248749,3.07910775361056,28.88978925658404,76.685692626894,98.8,80.9,8.3,0.5,87.0,88.0,10.3397734089232,11.1,14.0145081478681,75.0,75.6457144242242,15.4,22.71,59.034,47.0,6.6
138,Paraguay,PRY,6780744.0,64.8742748583341,62.818,37.182,70.262,164.0,5420.0,397300.0,39.8261432167128,42.3084319154291,11.9154291467405,1.14459119207034,0.0,2.06239316239316,,139.913046049852,15982.6044425,45.1,10.9987940241051,33.5423661006214,0.831483478747864,33.64542877846483,33.7033120450933,97.7,68.4,7.5,0.3,69.0,54.0,13.954068845618,15.6,11.1075949803312,71.0,74.9383368877686,22.0,20.53,70.347,46.0,4.2
139,Brazilian I.,BRA,215313498.0,69.8519813653299,87.555,12.445,72.75,2744.0,67522.0,8358140.0,59.2705274977447,28.6390944636007,6.96958414192631,1.94252335631484,2.23302391070074,1.18689277512807,2.91413407542935,369.467472099176,17827.6410509892,52.9,6.81318158158736,20.6976216988322,1.05342201124086,59.09985607570347,59.1075326389753,99.1,80.2,8.8,0.6,77.0,81.0,13.7086408761723,12.9,11.5536597805284,72.0,74.7376983511031,16.0,55.47,45.2,49.0,4.7
